# schema=1
# Planning only; not consumed by installer/install.sh.
# area<TAB>proposed-module<TAB>live path relative to HOME<TAB>current mode<TAB>restore disposition<TAB>review state<TAB>purpose/blocker
dms	dms-shell	.config/DankMaterialShell/firefox.css	644	personal-include	reviewed-functional	Working DMS browser-theme bridge
dms	dms-shell	.config/DankMaterialShell/monitors.json	644	personal-include	reviewed-functional	Same-machine DMS monitor geometry and output binding
dms-plugin	personal-media	.config/DankMaterialShell/plugins/ShorinScreenrec/ShorinScreenrecSettings.qml	644	personal-include	reviewed-functional	Shorin recorder settings UI
dms-plugin	personal-media	.config/DankMaterialShell/plugins/ShorinScreenrec/ShorinScreenrecWidget.qml	644	personal-include	reviewed-functional	Shorin recorder widget logic
dms-plugin	personal-media	.config/DankMaterialShell/plugins/ShorinScreenrec/StartupCheck.qml	644	personal-include	reviewed-functional	Shorin recorder dependency check
dms-plugin	personal-media	.config/DankMaterialShell/plugins/ShorinScreenrec/plugin.json	644	personal-include	reviewed-functional	Shorin recorder plugin metadata
autostart	personal-autostart	.config/autostart/FlClash.desktop	644	personal-include	reviewed-functional	Reviewed personal autostart entry for same-user graphical restore; no credential pattern found
dms	dms-shell	.config/dankcal/ui-settings.json	644	personal-include	reviewed-functional	Working Dankcal UI settings
desktop-search	dms-shell	.config/danksearch/config.toml	644	personal-include	reviewed-functional	Working Danksearch configuration
dms	dms-shell	.config/dgop/colors.json	644	personal-include	reviewed-functional	Working DGOP color data used by desktop shell
hyprland	wm-hyprland	.config/hypr/conf/autostart.lua	644	personal-include	reviewed-functional	Proven plain-Hyprland session startup compensation
hyprland	wm-hyprland	.config/hypr/dms/layout.lua	644	personal-include	reviewed-functional	Functional DMS-generated Hyprland layout
hyprland	wm-hyprland	.config/hypr/dms/outputs.lua	644	personal-include	reviewed-functional	Same-machine Hyprland output binding
hyprland	wm-hyprland	.config/hypr/keybinds.list	644	personal-include	reviewed-functional	Current Hyprland shortcut data
hyprland	wm-hyprland	.config/hypr/scripts/fake-overview.sh	755	personal-include	reviewed-functional	Current fake overview helper
hyprland	wm-hyprland	.config/hypr/scripts/hypr-force-kill-window	755	personal-include	reviewed-functional	Intentional Hyprland force-kill helper
hyprland	wm-hyprland	.config/hypr/scripts/hypr-keys	755	personal-include	reviewed-functional	Hyprland shortcut viewer
theme	dms-shell	.config/matugen/dms/configs/fuzzel.toml	644	personal-include	reviewed-functional	Working Matugen DMS/Fuzzel generator configuration
theme	dms-shell	.config/matugen/templates/fuzzel.ini	644	personal-include	reviewed-functional	Working Matugen Fuzzel output template
niri	wm-niri	.config/niri/dms/binds.kdl	644	personal-include	reviewed-functional	Functional DMS-generated Niri bindings
niri	wm-niri	.config/niri/dms/outputs.kdl	644	personal-include	reviewed-functional	Same-machine Niri output binding
niri	wm-niri	.config/niri/dms/wpblur.kdl	644	personal-include	reviewed-functional	Functional DMS wallpaper-blur fragment
niri	wm-niri	.config/niri/scripts/niri-force-kill-window	755	personal-include	reviewed-functional	Intentional Niri force-kill helper
