# schema=1
# module<TAB>package<TAB>source-finding<TAB>disposition<TAB>applicability<TAB>future-service-action<TAB>blocker<TAB>purpose
# Planning only: no row is consumed by installer/install.sh.
portal-common	xdg-desktop-portal	official	proposed	any-wayland-wm	dbus-activation	portal-session-validation	Desktop portal broker selected for every supported Wayland session
portal-common	xdg-desktop-portal-gtk	official	proposed	any-wayland-wm	dbus-activation	portal-session-validation	GTK fallback for chooser and common desktop portals
portal-niri	xdg-desktop-portal-gnome	official	proposed	wm-niri	dbus-activation	portal-session-validation	Backend selected by the packaged Niri portal preference
portal-niri	xdg-desktop-portal-wlr	official	excluded	wm-niri	none	niri-not-wlroots	Wlroots backend is not the backend selected by Niri metadata
portal-hyprland	xdg-desktop-portal-hyprland	official	proposed	wm-hyprland	dbus-activation	portal-session-validation	Backend selected by the packaged Hyprland portal preference
hyprland-session	uwsm	official	excluded	wm-hyprland	none	plain-session-selected	Optional manager omitted because the first restore baseline uses packaged plain Hyprland
audio-pipewire	pipewire	official	proposed	physical+vm	package-global-enable	-	PipeWire daemon; current official install hook globally enables pipewire.socket
audio-pipewire	pipewire-audio	official	proposed	physical+vm	none	-	PipeWire audio support and Bluetooth codecs
audio-pipewire	pipewire-alsa	official	proposed	physical+vm	none	-	ALSA routing through PipeWire
audio-pipewire	pipewire-pulse	official	proposed	physical+vm	package-global-enable	-	PulseAudio-compatible server; reconcile stops on an exact pulseaudio conflict instead of replacing it
audio-pipewire	wireplumber	official	proposed	physical+vm	package-global-enable	-	PipeWire policy manager; reconcile stops on an exact pipewire-media-session conflict
audio-pipewire	pipewire-jack	official	optional	physical	none	-	Optional JACK ABI provider; preflight stops on jack2 or another conflicting JACK provider
audio-pipewire	alsa-utils	official	optional	physical+vm	none	-	ALSA diagnostics and mixer tools
audio-pipewire	sof-firmware	official	proposed	asus-amd-nvidia	none	hardware-gate	Firmware for the detected AMD audio coprocessor path
audio-pipewire	rtkit	official	optional	physical	dbus-activation	-	Brokered realtime scheduling for PipeWire
audio-pipewire	realtime-privileges	official	excluded	physical	none	privileged-group-policy	Direct realtime group policy is outside the baseline
bluetooth	bluez	official	proposed	physical	enable-bluetooth.service	hardware-gate	Bluetooth system daemon
bluetooth	bluez-utils	official	proposed	physical	none	-	Bluetooth diagnostics and post-check CLI
bluetooth	blueman	official	proposed	physical	session-startup-map	-	GTK Bluetooth manager; Niri uses package XDG autostart and plain Hyprland uses guarded config startup
power-profiles	power-profiles-daemon	official	proposed	physical	enable-power-profiles-daemon.service	-	Selected power policy owner; preflight stops when a competing package or unit is present
power-profiles	upower	official	transitive	physical	dbus-activation	-	Power device and battery information
power-profiles	tuned	official	excluded	physical	none	power-profiles-daemon-selected	Alternative power tuning stack excluded because power-profiles-daemon is the selected owner
power-profiles	tuned-ppd	official	excluded	physical	none	power-profiles-daemon-selected	TuneD compatibility replacement excluded because power-profiles-daemon is the selected owner
power-profiles	thermald	official	excluded	asus-amd-nvidia	none	unsupported-hardware-fit	Intel-oriented thermal daemon is not selected for this AMD laptop
locale-zh-cn	glibc	official	transitive	asus-amd-nvidia	system-config	locale-file-review	Provides locale data and locale-gen on the base system
input-fcitx-rime	fcitx5	official	proposed	chinese-input	session-startup-map	-	Input method framework; Niri uses package XDG autostart and plain Hyprland uses guarded config startup
input-fcitx-rime	fcitx5-rime	official	proposed	chinese-input	none	rime-ice-config	Rime engine integration
input-fcitx-rime	fcitx5-gtk	official	proposed	chinese-input	none	-	GTK input method module
input-fcitx-rime	fcitx5-qt	official	proposed	chinese-input	none	-	Qt input method module
input-fcitx-rime	fcitx5-configtool	official	optional	chinese-input	none	large-kde-dependency-set	Graphical Fcitx configuration tool
input-fcitx-rime	rime-ice-git	archlinuxcn	blocked-third-party	chinese-input	none	third-party-authorization	Rime Ice schema referenced by the current personal configuration
gpu-base-kernel	linux	official	precondition	asus-base-install	none	base-kernel-manual	Confirmed kernel selected manually before the workstation installer starts
gpu-base-kernel	linux-headers	official	proposed	detected-linux	none	kernel-match	Headers required when the manually installed Linux kernel is detected
gpu-base-kernel	linux-zen	official	precondition	asus-base-install	none	base-kernel-manual	Confirmed second ASUS kernel selected manually before the workstation installer starts
gpu-base-kernel	linux-zen-headers	official	proposed	detected-linux-zen	none	kernel-match	Headers required when the manually installed Zen kernel is detected
gpu-amd	amd-ucode	official	proposed	amd-cpu	none	boot-loader-review	AMD processor microcode image
gpu-amd	mesa	official	proposed	amd-gpu	none	hardware-gate	OpenGL and current Mesa VA-API implementation
gpu-amd	vulkan-radeon	official	proposed	amd-gpu	none	conflicts-amdvlk	RADV Vulkan driver
gpu-amd	libva-mesa-driver	unavailable-official	excluded	amd-gpu	none	replaced-by-mesa	Legacy package name now provided and replaced by Mesa
gpu-multilib	lib32-mesa	official	optional	multilib+amd-gpu	none	multilib-authorization	32-bit OpenGL driver
gpu-multilib	lib32-vulkan-radeon	official	optional	multilib+amd-gpu	none	multilib-authorization	32-bit RADV Vulkan driver
gpu-nvidia-open	nvidia-open-dkms	official	proposed	nvidia-compatible	none	hardware-gate	Confirmed open NVIDIA DKMS baseline
gpu-nvidia-open	nvidia-utils	official	transitive	nvidia-compatible	none	version-lock	User-space NVIDIA libraries required at the exact driver version
gpu-multilib	lib32-nvidia-utils	official	optional	multilib+nvidia-compatible	none	multilib-authorization	32-bit NVIDIA user-space libraries
hybrid-graphics	switcheroo-control	official	pending-decision	hybrid-gpu	enable-switcheroo-control.service	behavior-review	Official D-Bus offload service requiring workflow evaluation
asus-controls	asusctl	archlinuxcn	blocked-third-party	asus-amd-nvidia	static-dbus	third-party-authorization	ASUS laptop control daemon and CLI
asus-controls	supergfxctl	archlinuxcn	blocked-third-party	asus-amd-nvidia	enable-supergfxd.service	third-party-authorization	Hybrid GPU mode switching daemon and CLI
asus-controls	rog-control-center	archlinuxcn	blocked-third-party	asus-amd-nvidia	none	third-party-authorization	Graphical frontend for asusctl
